"Player"	"Streak"	"RafflesWon"	"RafflesJoined"	"ExpectedRafflesWon"	"CoinsWon"	"ExpectedCoinsWon"
"whyonlythe"	"1"	"2"	"5"	"0,6353535353535353"	"8"	"3,4636363636363634"
"Harmony"	"3"	"161"	"923"	"138,77075824502322"	"1915"	"1607,565152331329"
"Kostenlos"	"1"	"3"	"11"	"1,444888444888445"	"20"	"8,072469197469196"
"Yes"	"1"	"1"	"15"	"1,6742535242535244"	"6"	"8,451476301476303"
"Ricardio T"	"0"	"0"	"3"	"0,22424242424242424"	"0"	"1,2363636363636363"
"Tipene tro"	"0"	"0"	"1"	"0,1"	"0"	"0,30000000000000004"
"Lategum"	"1"	"1"	"1"	"0,1"	"3"	"0,30000000000000004"
"<Revolutio"	"2"	"27"	"153"	"21,700107713923483"	"151"	"138,75001862172914"
"Harmless C"	"1"	"1"	"11"	"1,2496142746142747"	"53"	"10,315243090243088"
"CCC4"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,7142857142857142"
"Fuketsu"	"1"	"1"	"1"	"0,1111111111111111"	"3"	"0,3333333333333333"
"Sep Minnen"	"0"	"0"	"0"	"0"	"0"	"0"
"jaiden"	"0"	"0"	"2"	"0,21978021978021978"	"0"	"0,6593406593406593"
"Tactique"	"1"	"11"	"66"	"8,728027528027525"	"53"	"63,17957042957041"
"funney9"	"0"	"0"	"0"	"0"	"0"	"0"
"Warlus"	"0"	"0"	"12"	"1,3565226440226439"	"0"	"6,737803862803862"
"The Dude"	"1"	"16"	"103"	"16,067760017760012"	"124"	"110,52606560106557"
"Dr. Zap"	"1"	"1"	"5"	"0,5900793650793651"	"7"	"9,025"
"HugsnDrugs"	"0"	"0"	"1"	"0,07142857142857142"	"0"	"0,42857142857142855"
"Peregrine"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,5454545454545454"
"darknight"	"0"	"0"	"0"	"0"	"0"	"0"
"vikingGrav"	"0"	"0"	"1"	"0,0625"	"0"	"0,3125"
"AoiUsagi"	"0"	"0"	"0"	"0"	"0"	"0"
"Omar Al-Hi"	"0"	"0"	"2"	"0,2777777777777778"	"0"	"7,0555555555555545"
"Tal hawkin"	"0"	"0"	"1"	"0,2"	"0"	"1"
"Fredrik Sj"	"1"	"1"	"8"	"1,0666416916416914"	"12"	"10,178363303363302"
"NineTailor"	"0"	"0"	"2"	"0,25757575757575757"	"0"	"1,621212121212121"
"TooBlue4U"	"1"	"27"	"211"	"29,162073057661285"	"149"	"219,09739770033886"
"Hess"	"1"	"2"	"2"	"0,325"	"8"	"1,4500000000000002"
"louis13040"	"0"	"0"	"1"	"0,125"	"0"	"0,25"
"175175175"	"1"	"1"	"1"	"0,125"	"5"	"0,625"
"koala_stir"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,25"
"Fiver"	"0"	"0"	"1"	"0,08333333333333333"	"0"	"0,25"
"The iron f"	"0"	"0"	"0"	"0"	"0"	"0"
"Death848"	"1"	"1"	"2"	"0,2361111111111111"	"7"	"1,1527777777777777"
"DivusJuliu"	"0"	"0"	"0"	"0"	"0"	"0"
"keeielo"	"0"	"0"	"0"	"0"	"0"	"0"
"Eros"	"0"	"0"	"1"	"0,125"	"0"	"0,625"
"Dummy"	"1"	"1"	"8"	"1,1353535353535353"	"108"	"25,15530303030303"
"john"	"0"	"0"	"1"	"0,3333333333333333"	"0"	"1"
"Small_Emp"	"0"	"0"	"1"	"0,09090909090909091"	"0"	"0,4545454545454546"
"grg82"	"0"	"0"	"1"	"0,125"	"0"	"0,875"
"DoctorDoom"	"1"	"4"	"13"	"2,0589285714285714"	"25"	"11,15297619047619"
"Tybalt~Cat"	"0"	"0"	"1"	"0,1"	"0"	"0,4"
"Lab Rat"	"0"	"0"	"2"	"0,3333333333333333"	"0"	"2,1666666666666665"
"Hilow"	"1"	"8"	"79"	"10,452969252969247"	"87"	"74,89070096570096"
"Quatre"	"0"	"0"	"0"	"0"	"0"	"0"
"Oz"	"1"	"1"	"1"	"0,2"	"6"	"1,2000000000000002"
"BobGod’s b"	"0"	"0"	"1"	"0,16666666666666666"	"0"	"0,8333333333333333"
"MoonKnight"	"1"	"1"	"10"	"1,7254329004329003"	"7"	"14,210064935064937"
"ohhhesocut"	"0"	"0"	"1"	"0,14285714285714285"	"0"	"0,8571428571428571"
"Leftrin"	"0"	"0"	"0"	"0"	"0"	"0"
"Abram"	"1"	"1"	"8"	"1,0746031746031746"	"4"	"5,514285714285714"
"tawnyowl"	"1"	"2"	"4"	"0,40681818181818186"	"10"	"1,9022727272727273"
"General"	"0"	"0"	"0"	"0"	"0"	"0"
